,2020-12-26T00:05:00+08:00,2020-12-26T00:10:00+08:00,2020-12-26T00:15:00+08:00,2020-12-26T00:20:00+08:00,2020-12-26T00:25:00+08:00,2020-12-26T00:30:00+08:00,2020-12-26T00:35:00+08:00,2020-12-26T00:40:00+08:00,2020-12-26T00:45:00+08:00,2020-12-26T00:50:00+08:00,2020-12-26T00:55:00+08:00,2020-12-26T01:00:00+08:00,2020-12-26T01:05:00+08:00,2020-12-26T01:10:00+08:00,2020-12-26T01:15:00+08:00,2020-12-26T01:20:00+08:00,2020-12-26T01:25:00+08:00,2020-12-26T01:30:00+08:00,2020-12-26T01:35:00+08:00,2020-12-26T01:40:00+08:00,2020-12-26T01:45:00+08:00,2020-12-26T01:50:00+08:00,2020-12-26T01:55:00+08:00,2020-12-26T02:00:00+08:00,2020-12-26T02:05:00+08:00,2020-12-26T02:10:00+08:00,2020-12-26T02:15:00+08:00,2020-12-26T02:20:00+08:00,2020-12-26T02:25:00+08:00,2020-12-26T02:30:00+08:00,2020-12-26T02:35:00+08:00,2020-12-26T02:40:00+08:00,2020-12-26T02:45:00+08:00,2020-12-26T02:50:00+08:00,2020-12-26T02:55:00+08:00,2020-12-26T03:00:00+08:00,2020-12-26T03:05:00+08:00,2020-12-26T03:10:00+08:00,2020-12-26T03:15:00+08:00,2020-12-26T03:20:00+08:00,2020-12-26T03:25:00+08:00,2020-12-26T03:30:00+08:00,2020-12-26T03:35:00+08:00,2020-12-26T03:40:00+08:00,2020-12-26T03:45:00+08:00,2020-12-26T03:50:00+08:00,2020-12-26T03:55:00+08:00,2020-12-26T04:00:00+08:00,2020-12-26T04:05:00+08:00,2020-12-26T04:10:00+08:00,2020-12-26T04:15:00+08:00,2020-12-26T04:20:00+08:00,2020-12-26T04:25:00+08:00,2020-12-26T04:30:00+08:00,2020-12-26T04:35:00+08:00,2020-12-26T04:40:00+08:00,2020-12-26T04:45:00+08:00,2020-12-26T04:50:00+08:00,2020-12-26T04:55:00+08:00,2020-12-26T05:00:00+08:00,2020-12-26T05:05:00+08:00,2020-12-26T05:10:00+08:00,2020-12-26T05:15:00+08:00,2020-12-26T05:20:00+08:00,2020-12-26T05:25:00+08:00,2020-12-26T05:30:00+08:00,2020-12-26T05:35:00+08:00,2020-12-26T05:40:00+08:00,2020-12-26T05:45:00+08:00,2020-12-26T05:50:00+08:00,2020-12-26T05:55:00+08:00,2020-12-26T06:00:00+08:00,2020-12-26T06:05:00+08:00,2020-12-26T06:10:00+08:00,2020-12-26T06:15:00+08:00,2020-12-26T06:20:00+08:00,2020-12-26T06:25:00+08:00,2020-12-26T06:30:00+08:00,2020-12-26T06:35:00+08:00,2020-12-26T06:40:00+08:00,2020-12-26T06:45:00+08:00,2020-12-26T06:50:00+08:00,2020-12-26T06:55:00+08:00,2020-12-26T07:00:00+08:00,2020-12-26T07:05:00+08:00,2020-12-26T07:10:00+08:00,2020-12-26T07:15:00+08:00,2020-12-26T07:20:00+08:00,2020-12-26T07:25:00+08:00,2020-12-26T07:30:00+08:00,2020-12-26T07:35:00+08:00,2020-12-26T07:40:00+08:00,2020-12-26T07:45:00+08:00,2020-12-26T07:50:00+08:00,2020-12-26T07:55:00+08:00,2020-12-26T08:00:00+08:00,2020-12-26T08:05:00+08:00,2020-12-26T08:10:00+08:00,2020-12-26T08:15:00+08:00,2020-12-26T08:20:00+08:00,2020-12-26T08:25:00+08:00,2020-12-26T08:30:00+08:00,2020-12-26T08:35:00+08:00,2020-12-26T08:40:00+08:00,2020-12-26T08:45:00+08:00,2020-12-26T08:50:00+08:00,2020-12-26T08:55:00+08:00,2020-12-26T09:00:00+08:00,2020-12-26T09:05:00+08:00,2020-12-26T09:10:00+08:00,2020-12-26T09:15:00+08:00,2020-12-26T09:20:00+08:00,2020-12-26T09:25:00+08:00,2020-12-26T09:30:00+08:00,2020-12-26T09:35:00+08:00,2020-12-26T09:40:00+08:00,2020-12-26T09:45:00+08:00,2020-12-26T09:50:00+08:00,2020-12-26T09:55:00+08:00,2020-12-26T10:00:00+08:00,2020-12-26T10:05:00+08:00,2020-12-26T10:10:00+08:00,2020-12-26T10:15:00+08:00,2020-12-26T10:20:00+08:00,2020-12-26T10:25:00+08:00,2020-12-26T10:30:00+08:00,2020-12-26T10:35:00+08:00,2020-12-26T10:40:00+08:00,2020-12-26T10:45:00+08:00,2020-12-26T10:50:00+08:00,2020-12-26T10:55:00+08:00,2020-12-26T11:00:00+08:00,2020-12-26T11:05:00+08:00,2020-12-26T11:10:00+08:00,2020-12-26T11:15:00+08:00,2020-12-26T11:20:00+08:00,2020-12-26T11:25:00+08:00,2020-12-26T11:30:00+08:00,2020-12-26T11:35:00+08:00,2020-12-26T11:40:00+08:00,2020-12-26T11:45:00+08:00,2020-12-26T11:50:00+08:00,2020-12-26T11:55:00+08:00,2020-12-26T12:00:00+08:00,2020-12-26T12:05:00+08:00,2020-12-26T12:10:00+08:00,2020-12-26T12:15:00+08:00,2020-12-26T12:20:00+08:00,2020-12-26T12:25:00+08:00,2020-12-26T12:30:00+08:00,2020-12-26T12:35:00+08:00,2020-12-26T12:40:00+08:00,2020-12-26T12:45:00+08:00,2020-12-26T12:50:00+08:00,2020-12-26T12:55:00+08:00,2020-12-26T13:00:00+08:00,2020-12-26T13:05:00+08:00,2020-12-26T13:10:00+08:00,2020-12-26T13:15:00+08:00,2020-12-26T13:20:00+08:00,2020-12-26T13:25:00+08:00,2020-12-26T13:30:00+08:00,2020-12-26T13:35:00+08:00,2020-12-26T13:40:00+08:00,2020-12-26T13:45:00+08:00,2020-12-26T13:50:00+08:00,2020-12-26T13:55:00+08:00,2020-12-26T14:00:00+08:00,2020-12-26T14:05:00+08:00,2020-12-26T14:10:00+08:00,2020-12-26T14:15:00+08:00,2020-12-26T14:20:00+08:00,2020-12-26T14:25:00+08:00,2020-12-26T14:30:00+08:00,2020-12-26T14:35:00+08:00,2020-12-26T14:40:00+08:00,2020-12-26T14:45:00+08:00,2020-12-26T14:50:00+08:00,2020-12-26T14:55:00+08:00,2020-12-26T15:00:00+08:00,2020-12-26T15:05:00+08:00,2020-12-26T15:10:00+08:00,2020-12-26T15:15:00+08:00,2020-12-26T15:20:00+08:00,2020-12-26T15:25:00+08:00,2020-12-26T15:30:00+08:00,2020-12-26T15:35:00+08:00,2020-12-26T15:40:00+08:00,2020-12-26T15:45:00+08:00,2020-12-26T15:50:00+08:00,2020-12-26T15:55:00+08:00,2020-12-26T16:00:00+08:00,2020-12-26T16:05:00+08:00,2020-12-26T16:10:00+08:00,2020-12-26T16:15:00+08:00,2020-12-26T16:20:00+08:00,2020-12-26T16:25:00+08:00,2020-12-26T16:30:00+08:00,2020-12-26T16:35:00+08:00,2020-12-26T16:40:00+08:00,2020-12-26T16:45:00+08:00,2020-12-26T16:50:00+08:00,2020-12-26T16:55:00+08:00,2020-12-26T17:00:00+08:00,2020-12-26T17:05:00+08:00,2020-12-26T17:10:00+08:00,2020-12-26T17:15:00+08:00,2020-12-26T17:20:00+08:00,2020-12-26T17:25:00+08:00,2020-12-26T17:30:00+08:00,2020-12-26T17:35:00+08:00,2020-12-26T17:40:00+08:00,2020-12-26T17:45:00+08:00,2020-12-26T17:50:00+08:00,2020-12-26T17:55:00+08:00,2020-12-26T18:00:00+08:00,2020-12-26T18:05:00+08:00,2020-12-26T18:10:00+08:00,2020-12-26T18:15:00+08:00,2020-12-26T18:20:00+08:00,2020-12-26T18:25:00+08:00,2020-12-26T18:30:00+08:00,2020-12-26T18:35:00+08:00,2020-12-26T18:40:00+08:00,2020-12-26T18:45:00+08:00,2020-12-26T18:50:00+08:00,2020-12-26T18:55:00+08:00,2020-12-26T19:00:00+08:00,2020-12-26T19:05:00+08:00,2020-12-26T19:10:00+08:00,2020-12-26T19:15:00+08:00,2020-12-26T19:20:00+08:00,2020-12-26T19:25:00+08:00,2020-12-26T19:30:00+08:00,2020-12-26T19:35:00+08:00,2020-12-26T19:40:00+08:00,2020-12-26T19:45:00+08:00,2020-12-26T19:50:00+08:00,2020-12-26T19:55:00+08:00,2020-12-26T20:00:00+08:00,2020-12-26T20:05:00+08:00,2020-12-26T20:10:00+08:00,2020-12-26T20:15:00+08:00,2020-12-26T20:20:00+08:00,2020-12-26T20:25:00+08:00,2020-12-26T20:30:00+08:00,2020-12-26T20:35:00+08:00,2020-12-26T20:40:00+08:00,2020-12-26T20:45:00+08:00,2020-12-26T20:50:00+08:00,2020-12-26T20:55:00+08:00,2020-12-26T21:00:00+08:00,2020-12-26T21:05:00+08:00,2020-12-26T21:10:00+08:00,2020-12-26T21:15:00+08:00,2020-12-26T21:20:00+08:00,2020-12-26T21:25:00+08:00,2020-12-26T21:30:00+08:00,2020-12-26T21:35:00+08:00,2020-12-26T21:40:00+08:00,2020-12-26T21:45:00+08:00,2020-12-26T21:50:00+08:00,2020-12-26T21:55:00+08:00,2020-12-26T22:00:00+08:00,2020-12-26T22:05:00+08:00,2020-12-26T22:10:00+08:00,2020-12-26T22:15:00+08:00,2020-12-26T22:20:00+08:00,2020-12-26T22:25:00+08:00,2020-12-26T22:30:00+08:00,2020-12-26T22:35:00+08:00,2020-12-26T22:40:00+08:00,2020-12-26T22:45:00+08:00,2020-12-26T22:50:00+08:00,2020-12-26T22:55:00+08:00,2020-12-26T23:00:00+08:00,2020-12-26T23:05:00+08:00,2020-12-26T23:10:00+08:00,2020-12-26T23:15:00+08:00,2020-12-26T23:20:00+08:00,2020-12-26T23:25:00+08:00,2020-12-26T23:30:00+08:00,2020-12-26T23:35:00+08:00,2020-12-26T23:40:00+08:00,2020-12-26T23:45:00+08:00,2020-12-26T23:50:00+08:00,2020-12-26T23:55:00+08:00
S228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0.99,0.198,1.782,2.97,4.158,5.94,7.722,4.356,1.386,1.584,1.584,1.188,0.594,0.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.594,0.594,0.198,0.198,0,0.396,0,0.198,0,0,0,0,0.396,2.97,6.534,8.91,5.94,4.95,2.97,1.98,1.782,1.188,0.594,0.396,0,0.198,0,0,0.198,0.198,0.198,0.594,0.198,0.396,0.198,0.198,0,0,0.198,0,0.198,0,0.198,0.198,0,0,0,0,0,0,0,0.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203,3.045,4.466,3.857,2.842,1.421,1.421,1.015,0.609,0.812,0.609,0.406,0.203,0.203,0.203,0,0.203,0.203,0.203,0.406,0.609,0.203,0,0.203,0,0,0,0.203,0,0,0.203,0,0,0,0,0,0,0,0,0,0,0,0,0.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.4,1,0.4,0.4,1,0.8,1.6,1,0.6,0.4,0.2,0.4,0,0.2,0.4,0.4,0.4,0.4,0.6,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.6,1,3.4,2,1.8,1.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,1.8,3.4,2.8,1.4,0.4,0.4,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,3,3,1,0.4,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.4,6.6,8,7,7.2,6.8,6.6,6.8,4.6,1.8,1.8,1.2,1.2,0.8,0.6,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0.2,0.2,0.2,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,1.2,1,0.4,0,0,0,0,0.2,0,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,1.6,0.2,0.8,0.2,0.6,0,0.8,0.2,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.8,1.4,2,2.8,6.2,4.8,1.8,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,2.8,0.8,0.4,0.6,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,,0,0,0,0,0.2,0,0,0,0.2,0,0,0.2,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,3.4,2,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3.2,5.2,4.2,2.8,1.2,0.6,0.6,0.2,0.4,0.2,0.4,0,0,0.2,0,0,0,0,0,0,0,,0,0.2,0,0,0.2,0,0,0.2,0,0.2,0,0,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,2.6,2.8,0.8,0.2,0.2,0,0,0,0.2,0,0.2,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0.2,0,0,0,0.8,0.6,0.2,0.4,0.2,0,0.2,0.4,0.2,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,3.2,3.2,4,2.6,2.2,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,1,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,1.8,1.2,0.8,0.6,0.2,0,0,0.2,0,0.2,0.4,0.4,0.2,0.2,0,0,0,0,0,0.2,0,0,0,0.2,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,3.2,3.2,3.8,5.6,3.8,4.8,2.6,1,0.8,1,0.2,0.2,0.4,0.6,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,7,8.39999,5.6,3.6,1.6,2,2,2.8,1.8,0.4,0.2,0,0,0,0.6,1.2,1.4,0.6,0.8,0.8,0.6,3.4,2.6,1.4,1.4,1.4,0.4,0.6,4.2,4,1,0.8,1,0.8,0.2,,0,0,0,0.2,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,2.6,0.8,2.4,1.2,0.6,0.2,0.2,0,0.2,0.2,0,0,0.2,0.8,0.8,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0.2,7.6,3,5.2,5.6,5,8,6.6,3,2.2,1,0.4,0.2,0.4,0.2,0.2,1,0.8,0.6,0.2,1.2,1.8,4,4.4,2.6,2,0.8,0.4,0.2,0.2,0,0.2,,0,0,0,0,0,0,0,0,0,0.2,0,0.4,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1.2,1.6,0.8,0.6,0,0.2,0.2,0,1.6,2,0.8,0.2,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,6.8,7.4,4.8,2.8,4.6,2.6,2.6,0.6,0.2,0.2,0.2,0.2,0.2,1.4,1.6,0.6,0.4,0.6,2,1.4,2.4,1.8,1,3.4,3.6,3.4,1.2,1.2,0.4,0,0.2,0,0,,0,0,0,0,0,0.2,0,0.2,0.2,0,0.2,0.4,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
